market,ticker,date,open,close,high,low,volume,amount,amplitude_pct,change_pct,turnover_pct
CN_A,002674.SZ,2026-04-01,12.84,12.73,12.89,12.57,21806,27600051.00,2.54,0.95,0.75
CN_A,002674.SZ,2026-04-02,12.72,12.55,12.78,12.50,22061,27801387.56,2.20,-1.41,0.75
CN_A,002674.SZ,2026-04-03,12.61,12.29,12.69,12.15,23802,29295140.00,4.30,-2.07,0.81
CN_A,002674.SZ,2026-04-07,12.42,12.68,12.68,12.12,22201,27861531.00,4.56,3.17,0.76
CN_A,002674.SZ,2026-04-08,12.89,12.96,13.07,12.79,25801,33424064.00,2.21,2.21,0.88
CN_A,002674.SZ,2026-04-09,12.96,13.10,13.25,12.73,28182,36709077.00,4.01,1.08,0.96
CN_A,002674.SZ,2026-04-10,13.11,13.04,13.26,13.02,16989,22293071.00,1.83,-0.46,0.58
CN_A,002674.SZ,2026-04-13,12.95,13.39,13.46,12.87,42753,56543865.00,4.52,2.68,1.46
CN_A,002674.SZ,2026-04-14,13.44,13.30,13.49,13.12,22938,30433508.49,2.76,-0.67,0.78
CN_A,002674.SZ,2026-04-15,13.30,13.30,13.38,13.09,21808,28814640.00,2.18,0.00,0.75
CN_A,002674.SZ,2026-04-16,13.29,13.40,13.64,13.21,34848,46908485.00,3.23,0.75,1.19
CN_A,002674.SZ,2026-04-17,13.43,13.68,14.30,13.41,57265,79540964.20,6.64,2.09,1.96
CN_A,002674.SZ,2026-04-20,13.67,13.90,13.94,13.65,28940,39959748.00,2.12,1.61,0.99
CN_A,002674.SZ,2026-04-21,13.83,13.91,14.07,13.83,32069,44738679.00,1.73,0.07,1.10
CN_A,002674.SZ,2026-04-22,13.88,14.06,14.14,13.86,29256,41180723.96,2.01,1.08,1.00
CN_A,002674.SZ,2026-04-23,14.09,13.82,14.09,13.74,26909,37265841.00,2.49,-1.71,0.92
CN_A,002674.SZ,2026-04-24,13.87,13.83,13.96,13.74,24283,33611852.00,1.59,0.07,0.83
CN_A,002674.SZ,2026-04-27,13.83,13.99,14.07,13.80,33535,46859811.00,1.95,1.16,1.15
CN_A,002674.SZ,2026-04-28,13.85,13.32,13.99,13.16,59409,79749477.00,5.93,-4.79,2.03
CN_A,002674.SZ,2026-04-29,13.51,13.67,13.86,13.22,60523,82912481.00,4.80,2.63,2.07
CN_A,002674.SZ,2026-04-30,13.84,13.48,13.84,13.42,27994,37988234.00,3.07,-1.39,0.96
CN_A,002674.SZ,2026-05-06,13.51,13.37,13.60,13.13,54712,72796175.00,3.49,-0.82,1.87
CN_A,002674.SZ,2026-05-07,13.43,13.43,13.63,13.20,31101,41848811.00,3.22,0.45,1.06
CN_A,002674.SZ,2026-05-08,13.48,13.46,13.52,13.31,27180,36549483.00,1.56,0.22,0.93
CN_A,002674.SZ,2026-05-11,13.46,13.34,13.54,13.17,38210,51068856.99,2.75,-0.89,1.31
CN_A,002674.SZ,2026-05-12,13.35,13.19,13.45,13.12,28584,37890804.00,2.47,-1.12,0.98
CN_A,002674.SZ,2026-05-13,13.21,13.73,13.79,13.12,67102,90774156.02,5.08,4.09,2.29
CN_A,002674.SZ,2026-05-14,13.72,13.82,14.09,13.32,52366,71987355.57,5.61,0.66,1.79
CN_A,002674.SZ,2026-05-15,13.78,13.72,14.05,13.60,46051,63556020.00,3.26,-0.72,1.57
CN_A,002674.SZ,2026-05-18,13.70,13.64,13.70,13.20,47337,63713977.00,3.64,-0.58,1.62
CN_A,002674.SZ,2026-05-19,13.66,13.99,14.03,13.60,64285,89010668.00,3.15,2.57,2.20
CN_A,002674.SZ,2026-05-20,13.98,14.51,14.73,13.98,117758,170314382.00,5.36,3.72,4.03
CN_A,002674.SZ,2026-05-21,14.57,14.67,15.02,14.36,103169,151728696.00,4.55,1.10,3.53
CN_A,002674.SZ,2026-05-22,14.79,14.52,14.83,14.49,65540,95718735.00,2.32,-1.02,2.24
CN_A,002674.SZ,2026-05-25,14.77,15.97,15.97,14.67,87042,136806158.00,8.95,9.99,2.98

